DATE,CLVMNACSCAB1GQNO
2000-01-01,2230148.6
2001-01-01,2276250.1
2002-01-01,2307606.1
2003-01-01,2329410.7
2004-01-01,2422928.2
2005-01-01,2487987.0
2006-01-01,2549229.1
2007-01-01,2623512.8
2008-01-01,2636155.8
2009-01-01,2585004.9
2010-01-01,2605351.0
2011-01-01,2634156.6
2012-01-01,2705752.6
2013-01-01,2733248.5
2014-01-01,2789228.1
2015-01-01,2841034.2
2016-01-01,2888063.5
2017-01-01,2979047.1
2018-01-01,2992333.9
2019-01-01,3010789.1
2020-01-01,2980094.8
2021-01-01,3075287.2
2022-01-01,3166314.2
